MSA长度不匹配报告
============================================================

总计不匹配文件数: 272

详细信息:
------------------------------------------------------------
文件名                  序列长度       MSA长度      差异        
4ts2_Y               47         46         1         
4un4_A               82         81         1         
4un5_A               82         81         1         
4v2s_Q               58         57         1         
4w5n_B               18         17         1         
4w5o_B               20         19         1         
4w92_C               96         95         1         
4x4t_B               34         31         3         
4ycp_B               62         60         2         
4z4c_B               19         18         1         
4z4e_B               19         18         1         
4z4g_B               20         19         1         
4z4h_B               20         19         1         
4z4i_B               20         19         1         
5aox_C               87         85         2         
5aox_F               87         85         2         
5axw_B               73         72         1         
5b2o_B               94         93         1         
5b2p_B               94         93         1         
5b2q_B               94         93         1         
5c45_X               54         53         1         
5c7w_C               67         65         2         
5czz_B               73         72         1         
5ew4_A               20         19         1         
5ew4_B               21         20         1         
5ew7_A               20         19         1         
5ew7_B               21         20         1         
5fq5_A               83         81         2         
5gmk_L               102        127        25        
5it9_i               192        185        7         
5kk5_B               40         39         1         
5kx9_X               53         52         1         
5lj3_Z               107        171        64        
5lj5_Z               107        171        64        
5lyv_A               57         56         1         
5lyv_B               57         56         1         
5mq0_2               94         155        61        
5msg_R               18         17         1         
5nfv_B               42         40         2         
5nfv_C               38         37         1         
5nfv_D               25         24         1         
5ng6_B               25         24         1         
5ng6_D               25         24         1         
5ng6_F               25         24         1         
5ng6_H               25         24         1         
5o6u_A               43         42         1         
5o7h_A               43         42         1         
5oik_N               43         34         9         
5omw_E               77         76         1         
5on2_E               81         80         1         
5on3_B               79         78         1         
5on3_E               79         78         1         
5onh_E               83         82         1         
5t83_A               90         89         1         
5tc1_R               77         242        165       
5w1h_B               42         41         1         
5w1i_B               41         39         2         
5w1i_D               39         37         2         
5wlh_B               43         42         1         
5wqe_B               60         59         1         
5wsg_L               66         91         25        
5xh6_B               40         39         1         
5xh7_B               40         39         1         
5xow_G               18         17         1         
5xpa_D               19         18         1         
5xpg_G               17         16         1         
5y6z_F               18         17         1         
5zw4_D               16         15         1         
5zwo_H               88         150        62        
6bfb_X               54         53         1         
6bk8_2               74         135        61        
6c4h_A               94         636        542       
6c65_C               35         34         1         
6c66_N               38         37         1         
6cbd_B               19         18         1         
6cc1_A               94         93         1         
6cc1_B               100        99         1         
6ck4_C               108        106        2         
6ck4_D               101        99         2         
6dn3_X               54         53         1         
6dvk_H               95         94         1         
6exn_2               88         136        48        
6exn_I               39         38         1         
6i1k_B               40         39         1         
6i1l_E               40         39         1         
6j6g_L               134        208        74        
6j6h_L               135        209        74        
6j6n_L               131        205        74        
6j6q_L               136        210        74        
6joo_B               96         95         1         
6k4p_A               82         81         1         
6m0v_B               71         70         1         
6m0w_B               72         71         1         
6m0x_B               71         70         1         
6mdz_F               17         14         3         
6mfr_E               22         21         1         
6mfr_F               16         14         2         
6ne0_O               21         20         1         
6nit_C               18         17         1         
6nit_E               21         19         2         
6nit_F               20         19         1         
6p7m_B               26         25         1         
6p7n_B               26         25         1         
6p7n_F               26         25         1         
6sqn_Y               17         16         1         
6sqn_Z               16         15         1         
6sy4_C               37         36         1         
6uvn_M               61         60         1         
6v9b_D               27         25         2         
6v9q_K               61         60         1         
6vbw_K               61         60         1         
6wpi_B               40         39         1         
6ymi_O               26         25         1         
6ymj_A               26         25         1         
6ymj_F               26         25         1         
6ymj_I               26         25         1         
6ymj_M               26         25         1         
6ytf_3               76         453        377       
7af3_1               69         456        387       
7af5_1               69         456        387       
7af8_1               69         456        387       
7afa_1               69         456        387       
7afd_1               69         456        387       
7afh_1               69         456        387       
7afk_1               69         456        387       
7afn_1               69         456        387       
7bge_a               63         465        402       
7d8o_B               37         36         1         
7d8o_D               37         36         1         
7d8o_F               37         36         1         
7d8o_H               37         36         1         
7d8o_J               37         36         1         
7d8o_L               37         36         1         
7e9i_A               33         32         1         
7efi_A               19         17         2         
7el1_B               73         72         1         
7eni_B               69         68         1         
7enr_B               92         91         1         
7jnh_A               25         23         2         
7jzw_M               61         60         1         
7jzx_M               61         60         1         
7jzy_M               61         60         1         
7jzz_M               61         60         1         
7k98_C               77         76         1         
7k98_F               77         76         1         
7l49_C               30         29         1         
7mky_A               66         65         1         
7oqb_2               79         143        64        
7os0_D               48         47         1         
7os0_F               48         47         1         
7ox8_A               84         82         2         
7ox9_A               84         82         2         
7td7_A               78         74         4         
7tda_A               80         77         3         
7tdb_A               80         77         3         
7tdc_A               80         77         3         
7v6c_C               21         20         1         
7v6c_D               21         20         1         
------------------------------------------------------------

统计信息:
平均差异: 21.28
最大差异: 542
最小差异: 1
